Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
147,Table,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
148,Table,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
149,Table,0.941333,0.4,0.956164,0.2,0.983099,0.936,0.3,0.953425,0.15,0.980282,0.941333,0.4,0.956164,0.2,0.983099
150,Table,0.946667,0.5,0.958904,0.25,0.985915,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
151,Table,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
152,Table,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831
153,Table,0.946667,0.5,0.958904,0.25,0.985915,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
154,Table,0.957333,0.7,0.964384,0.35,0.991549,0.92,0,0.945205,0,0.971831,0.962667,0.8,0.967123,0.4,0.994366
155,Table,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282
156,Table,0.946667,0.5,0.958904,0.25,0.985915,0.936,0.3,0.953425,0.15,0.980282,0.946667,0.5,0.958904,0.25,0.985915
157,Table,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
158,Table,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.957333,0.7,0.964384,0.35,0.991549
159,Table,0.962667,0.8,0.967123,0.4,0.994366,0.936,0.3,0.953425,0.15,0.980282,0.962667,0.8,0.967123,0.4,0.994366
160,Table,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
161,Teddy,0.941333,0.4,0.956164,0.2,0.983099,0.941333,0.4,0.956164,0.2,0.983099,0.952,0.6,0.961644,0.3,0.988732
162,Teddy,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
163,Teddy,0.957333,0.7,0.964384,0.35,0.991549,0.936,0.3,0.953425,0.15,0.980282,0.968,0.9,0.969863,0.45,0.997183
